[np.float64(5.724814756293084e-48), np.float64(0.1668524240531267), np.float64(-0.03513300955356602), np.float64(-16.181877221146838), np.float64(94.62121154785156), np.float64(-1.7666841443101928), np.float64(1.062660972512584), np.float64(8.668221875)]
[np.float64(2.6752879910742468e-09), np.float64(0.43801389905941557), np.float64(-0.06505619615899967), np.float64(-15.300482957509526), np.float64(73.84870222928335), np.float64(-1.721714026598003), np.float64(0.8380519063103001), np.float64(8.528175000000001)]
[np.float64(1.5542034905615116e-13), np.float64(0.41155118475915997), np.float64(-0.038979703371155035), np.float64(-11.860925282389413), np.float64(85.55341253928546), np.float64(-1.8218346425529346), np.float64(1.0054527181773487), np.float64(8.63406)]
[np.float64(1.4138862577600168e-16), np.float64(0.3110015499941023), np.float64(-0.11851799494062873), np.float64(-14.10998365700517), np.float64(84.26606790996709), np.float64(-1.8336621537886206), np.float64(0.9691878328431802), np.float64(8.611369718333)]
[np.float64(3.4004559045423516e-18), np.float64(0.3658481167000386), np.float64(-0.11876831843175635), np.float64(-13.16435158471511), np.float64(54.36741321156047), np.float64(-1.7568980194796602), np.float64(0.8328963722243514), np.float64(8.50409)]
[np.float64(9.045368553687896e-15), np.float64(0.40670960313561644), np.float64(-0.10857204651762475), np.float64(-13.893143435467305), np.float64(74.42395745271067), np.float64(-1.8021181616140751), np.float64(0.9452093352908661), np.float64(8.5785592753384)]
[np.float64(-7.415294019870151e-97), np.float64(0.5846280632249955), np.float64(-0.14575467861190483), np.float64(-23.13006014797806), np.float64(1084.1093856854866), np.float64(-1.7200118813875427), np.float64(8.711278013392023e-05), np.float64(4.755881312715599)]
[np.float64(1.0490301671774682e-138), np.float64(0.519729654344556), np.float64(-0.05817503127572031), np.float64(-7.267670167442148), np.float64(1084.1093856854866), np.float64(-1.9940951131996647), np.float64(0.15208551171349755), np.float64(7.9989563724441)]
[np.float64(-9.112272518922075e-118), np.float64(0.6166877176848666), np.float64(-0.07268195557278455), np.float64(-6.26532514156677), np.float64(1084.1093856854866), np.float64(-2.2079469432780883), np.float64(0.567715439829087), np.float64(8.8031521874784)]
[np.float64(1.215055988535862e-137), np.float64(0.049091520593976236), np.float64(-0.2945985476779639), np.float64(-6.1277411964016295), np.float64(1616.6425), np.float64(-2.1426341885204674), np.float64(0.0018166764154029828), np.float64(8.545645783043)]
[np.float64(-5.026434883981674e-190), np.float64(0.012641211242744648), np.float64(-0.12151559491126038), np.float64(-34.00916336534863), np.float64(1616.6425), np.float64(-1.448850693668884), np.float64(0.019482708616026603), np.float64(9.1693763335515)]
[np.float64(0.0), np.float64(0.5801011852624599), np.float64(-0.06398343263504208), np.float64(-28.945019913941298), np.float64(1616.6425), np.float64(-1.477207162159974), np.float64(1.171009318877088), np.float64(9.2523133837576)]
